File #,DateTime,Name,Application,Method,ElapsedTime,Mn,Rb,Sr,Y,Zr,Nb,Ba,Th
292.0,2025-10-24 12:10:00,RGM solid,Obsidian 3mm,Obsidian 3mm,30.0,7540000.0,1590000.0,1240000.0,290000.0,2380000.0,230000.0,16640000.0,240000.0
293.0,2025-10-24 12:14:00,LK1-U1-109-9,Obsidian 3mm,Obsidian 3mm,30.0,9780000.0,1510000.0,3600000.0,200000.0,2050000.0,310000.0,23870000.0,250000.0
294.0,2025-10-24 12:15:00,LK1-U7-142-17,Obsidian 3mm,Obsidian 3mm,30.0,8350000.0,1420000.0,3770000.0,230000.0,1970000.0,310000.0,14610000.0,230000.0
295.0,2025-10-24 12:17:00,LK1-U7-144-11,Obsidian 3mm,Obsidian 3mm,30.0,7670000.0,1380000.0,3530000.0,200000.0,1900000.0,300000.0,21830000.0,270000.0
296.0,2025-10-24 12:23:00,LK1-U2-118-12,Obsidian 3mm,Obsidian 3mm,30.0,8460000.0,1350000.0,3390000.0,210000.0,1810000.0,290000.0,16500000.0,250000.0
297.0,2025-10-24 12:25:00,LK1-U6-128-15,Obsidian 3mm,Obsidian 3mm,30.0,8570000.0,1530000.0,3800000.0,220000.0,1890000.0,300000.0,16750000.0,230000.0
298.0,2025-10-24 12:27:00,LK1-U7-141-25,Obsidian 3mm,Obsidian 3mm,30.0,7960000.0,1370000.0,3710000.0,210000.0,1880000.0,310000.0,14590000.0,250000.0
299.0,2025-10-24 12:28:00,LK1-U2-114-55,Obsidian 3mm,Obsidian 3mm,30.0,8420000.0,1310000.0,3420000.0,230000.0,1770000.0,320000.0,22290000.0,200000.0
300.0,2025-10-24 12:29:00,LK1-U7-143-12,Obsidian 3mm,Obsidian 3mm,30.0,9140000.0,1470000.0,3710000.0,210000.0,1920000.0,270000.0,15630000.0,290000.0
301.0,2025-10-24 12:31:00,LK1-U2-116-19,Obsidian 3mm,Obsidian 3mm,30.0,7820000.0,1420000.0,3750000.0,210000.0,1920000.0,300000.0,13880000.0,260000.0
302.0,2025-10-24 12:32:00,LK1-U7-136-12,Obsidian 3mm,Obsidian 3mm,30.0,10600000.0,3450000.0,130000.0,350000.0,690000.0,880000.0,8470000.0,350000.0
303.0,2025-10-24 12:32:00,LK1-U6-123-36,Obsidian 3mm,Obsidian 3mm,30.0,8780000.0,1450000.0,3850000.0,240000.0,2110000.0,320000.0,22700000.0,240000.0
304.0,2025-10-24 12:33:00,LK1-U1-106-6,Obsidian 3mm,Obsidian 3mm,30.0,9500000.0,1410000.0,3450000.0,210000.0,1900000.0,290000.0,22110000.0,290000.0
305.0,2025-10-24 12:34:00,LK1-sup-33 p537,Obsidian 3mm,Obsidian 3mm,30.0,9040000.0,1360000.0,3540000.0,220000.0,1950000.0,310000.0,17820000.0,240000.0
306.0,2025-10-24 12:35:00,LK1-sup-16,Obsidian 3mm,Obsidian 3mm,30.0,9340000.0,1480000.0,3730000.0,220000.0,1890000.0,300000.0,24210000.0,280000.0
307.0,2025-10-24 12:35:00,LK1-U3-204-2,Obsidian 3mm,Obsidian 3mm,30.0,9270000.0,1430000.0,3870000.0,220000.0,1990000.0,300000.0,16690000.0,280000.0
308.0,2025-10-24 12:38:00,RGM solid,Obsidian 3mm,Obsidian 3mm,30.0,5700000.0,1570000.0,1110000.0,290000.0,2290000.0,190000.0,13240000.0,280000.0
312.0,2025-10-30 16:53:00,bad,Obsidian 3mm,Obsidian 3mm,30.0,7840000.0,1560000.0,1220000.0,320000.0,2340000.0,200000.0,17580000.0,310000.0
358.0,2026-05-07 20:20:00,bad,Obsidian 3mm,Obsidian 3mm,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359.0,2026-05-07 20:20:00,RGM solid date time off,Obsidian 3mm,Obsidian 3mm,30.0,7580000.0,1580000.0,1360000.0,370000.0,2400000.0,240000.0,16560000.0,280000.0
360.0,2026-05-07 20:20:00,RGM solid,Obsidian 3mm,Obsidian 3mm,30.0,7530000.0,1570000.0,1270000.0,300000.0,2190000.0,210000.0,15220000.0,250000.0
